Barcode,Cost,ADJ,Source,Tag
'197627156248,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578427959,eligible-discount
'197627156255,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578460727,eligible-discount
'197627156262,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578493495,eligible-discount
'197627156279,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578526263,eligible-discount
'197627156286,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578559031,eligible-discount
'197627156293,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578591799,eligible-discount
'197627156316,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578624567,eligible-discount
'197594605589,$20.80,$16.64,https://www.shopwss.com/products/fb5625_070?variant=41047401988151,eligible-discount
'197594604742,$20.80,$16.64,https://www.shopwss.com/products/fb5625_070?variant=41047402020919,eligible-discount
'197626388671,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589338679,eligible-discount
'197626384901,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589371447,eligible-discount
'197626384925,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589404215,eligible-discount
'197626388640,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589436983,eligible-discount
'197626388589,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589469751,eligible-discount
'197626388688,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589502519,eligible-discount
'197626384956,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589535287,eligible-discount
'197626384918,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589568055,eligible-discount
'197626384840,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589600823,eligible-discount
'197626384932,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589633591,eligible-discount
'197626388626,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589666359,eligible-discount
'197626388602,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589699127,eligible-discount
'197626388695,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589731895,eligible-discount
'197626388701,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589764663,eligible-discount
'197626384949,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589797431,eligible-discount
'197626388664,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589830199,eligible-discount
'197626388657,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589862967,eligible-discount
'197626388619,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589895735,eligible-discount
'197626384895,$61.56,$49.25,https://www.shopwss.com/products/jr7287?variant=41380589928503,eligible-discount
'197621119829,$51.99,$41.59,https://www.shopwss.com/products/jp7939?variant=41380752687159,eligible-discount
'197621123482,$51.99,$41.59,https://www.shopwss.com/products/jp7939?variant=41380752719927,eligible-discount
