API URLs,Original URLs
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10647069&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10647069,https://www.michaels.com/product/gel-pens-with-stand-by-artist's-loft-10647069?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10723039&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10723039,https://www.michaels.com/product/sharpie-sgel-medium-black-pens-with-white-barrel-2ct-10723039?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10582844&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10582844,https://www.michaels.com/product/uniball-impact-gel-pens-10582844?michaelsStore=5804&inv=14
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10520461&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10520461,https://www.michaels.com/product/tombow-fudenosuke-calligraphy-brush-pens-10520461?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10317254&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10317254,https://www.michaels.com/product/sharpie-ultra-fine-point-permanent-marker-set-10317254?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10232312&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10232312,https://www.michaels.com/product/fabercastell-pitt-8-piece-black-artist-pen-set-10232312?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10514395&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10514395,https://www.michaels.com/product/staedtler-triangular-colored-pencils-72ct-10514395
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10540269&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10540269,https://www.michaels.com/product/pigma-micron-pn-durable-plastic-nib-black-pens-3ct-10540269?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10340782&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10340782,https://www.michaels.com/product/prismacolor-premier-colored-pencil-accessory-set-10340782?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10715675&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10715675,https://www.michaels.com/product/pigma-micron-black-gray-10-piece-fine-bold-line-pen-set-10715675?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10555776&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10555776,https://www.michaels.com/product/copic-sea-sky-sketch-marker-set-10555776?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10555320&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10555320,https://www.michaels.com/product/staedtler-mars-lumograph-drawing-pencils-set-of-12-10555320?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D612261S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D612261S,https://www.michaels.com/product/manuscript-callicreative-metallic-italic-markers-6ct-D612261S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10671608&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10671608,https://www.michaels.com/product/sharpie-s-gel-07mm-pen-set-10671608?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10604037&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10604037,https://www.michaels.com/product/winsor-newton-studio-collection-sketching-pencil-4pc-set-with-eraser-10604037
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10712797&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10712797,https://www.michaels.com/product/portrait-colored-pencils-by-artist's-loft-10712797?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D589246S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D589246S,https://www.michaels.com/product/pentel-arts-36-piece-watercolor-pencil-set-D589246S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10728562&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10728562,https://www.michaels.com/product/staedtler-black-8-piece-pigment-liner-set-10728562?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10476516&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10476516,https://www.michaels.com/product/pigma-micron-sepia-4-pen-set-10476516
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10692905&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10692905,https://www.michaels.com/product/sharpie-mystic-gems-permanent-marker-set-10692905?michaelsStore=5804&inv=4
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10339018&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10396439,10339018,10129606",https://www.michaels.com/product/soft-pastels-colors-by-artist's-loft-10339018?michaelsStore=5804&inv=1
"https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D346743S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D346734S,D346743S,D346736S,D346735S",https://www.michaels.com/product/jam-paper-50mm-calligraphy-pen-2ct-D346743S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10527787&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10527787,https://www.michaels.com/product/pigma-micron-01-fine-line-black-pens-6ct-10527787?michaelsStore=5804&inv=3
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10230291&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10230291,https://www.michaels.com/product/copic-perfect-primaries-sketch-marker-set-10230291
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10728559&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10728559,https://www.michaels.com/product/staedtler-black-3-piece-pigment-liner-set-10728559?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10694386&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10694386,https://www.michaels.com/product/micron-brush-gray-pen-set-10694386?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D260668S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D260668S,https://www.michaels.com/product/paper-mate-inkjoy-retractable-07mm-gel-pen-3-color-set-D260668S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D614811S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D614811S,https://www.michaels.com/product/art-advantage-urban-draw-color-set-D614811S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10159772&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10159772,https://www.michaels.com/product/tote-bag-by-artists-loft-fundamentals-10159772?michaelsStore=5804&inv=5
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10667294&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10667294,https://www.michaels.com/product/watercolor-pencil-set-by-artist's-loft-72-ct--10667294?michaelsStore=5804&inv=7
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D615410S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D615410S,https://www.michaels.com/product/manuscript-blue-handwriting-pen-classroom-pack-D615410S
