"UPC","Title","ASIN","Sales Rank 180","Price 180","New Count Offer 180","Monthly Sold","Buy Box 180"
"076280044614","Solaray Super Bio Vitamin C 1000mg, Buffered, Time Release Capsules with Bioflavonoids, Two-Stage for High Absorption & All Day Immune Support, Vegan, 60 Day Guarantee, 125 Servings, 250 VegCaps","B00013YZ0M","15229.0","30.79","16.0","700","30.07"
"808709034902","ACDelco Gold 9748RR (19297032) Spark Plug Wire Set","B00FG2MZXM","18617.0","100.86","15.0","300","45.14"
"813070004522","B&C Skin Tight In-grown Hair & Razor Bump Creme, 2 Ounce","B002AHNJTA","20037.0","31.0","18.0","800","10.53"
"027275200041","Auromere Ayurvedic Herbal Toothpaste, Fresh Mint - Vegan, Natural, Non GMO, Fluoride Free, Gluten Free, with Neem & Peelu (4.16 oz), 2 Pack","B00T6BOA3C","29048.0","22.0","19.0","1000","15.81"
"817987021146","New Life Spectrum Naturox Series Marine Formula Supplement, 150g","B077MRHWSJ","23658.0","15.66","16.0","200","12.36"
"850036862062","Kaleidoscope X Da Brat So So Slick Braid and Grip Gel 8 oz","B0BX4H859K","20533.0","39.47","19.0","800","14.59"
"371655354306","Demert Nail Enamel Dryer-7.5 oz (3-Pack)","B079J6HWDD","24204.0","15.38","17.0","700","15.46"
"764442693472","SOLARAY CranActin Cranberry Extract 400 mg - Cranberry Supplements for Women and Men - Bladder and Urinary Tract Health Support with Vitamin C - Vegan, 60-Day Guarantee, 120 Servings, 120 VegCaps","B00020I1XG","21267.0","35.39","17.0","1000","26.86"
"734366015278","Smoke Odor Exterminator Candle, Pineapple & Coconut - 13 oz","B00G1OZXOM","16930.0","17.26","17.0","300","12.40"
"087004167977","Fahrenheit By Christian Dior For Men. Eau De Toilette Spray 6.8 Oz.","B000GIL12C","25455.0","98.35","19.0","100","141.91"
"885596128198","ASPEN by Coty COLOGNE SPRAY 4 OZ (Package Of 2)","B00F8KA0U2","27385.0","19.02","19.0","800","19.39"
"097612300055","Zoo Med Reptitherm Undertank Heater 10-20Gal 6X8","B00BUFWCNC","33457.0","39.47","16.0","200","20.04"
"034285502058","Africa's Best Super Gro Hair and Scalp Conditioner, 5.25 Oz (AB20203)","B0142A9TZU","24063.0","21.0","19.0","700","6.41"
"615908431452","TIGI Bed Head Headrush Shine Hair Spray for Smooth Shiny Hair 5.3 oz","B09S3FZ47Q","23531.0","19.99","19.0","900","13.38"
"070382151386","Meguiar's Hot Shine Tire Spray (15 oz) - Pack of 6","B004Q08HSW","25923.0","72.65","16.0","100","49.81"
"701000995005","It's a 10 Haircare Miracle Leave-In Plus Keratin Spray, 10 fl. oz (Pack of 2)","B00GBES3U8","21088.0","65.0","17.0","1000","47.49"
"017922113657","Barbicide Wipes 160 ct.","B00ME43YBC","22395.0","39.99","18.0","1000","18.46"
"689211602472","Armaf Club De Nuit Intense for Women Eau De Parfum Spray, 3.6 Ounce","6978513245","23064.0","32.97","15.0","400","28.75"
"022600019565","Nair Hair Remover Wax Ready-Strips 40 Count Legs/Body (2 Pack)","B01BH6SZL6","29503.0","29.99","17.0","600","16.34"
"038485911610","Acnomel Adult Acne Medication Cream 1.3 Oz","B001ACCZ5K","32705.0","16.0","15.0","900","13.14"
"022600190622","Arrid XX Regular Scent Extra Extra Dry Solid Anti-Perspirant Deodorant 2.6 oz (Pack of 6)","B0792PV7ZD","12677.0","26.99","18.0","700","19.93"
"011111121140","Dove Body Wash 11 Ounce Go Fresh Cucumber & Green Tea, 11 Fl Oz (Pack of 2)","B00NFUGU9M","22904.0","21.07","15.0","800","19.01"
"590291962502","TCB No Base Creme Hair Relaxer with Protein and DNA Super 15.oz","B00UEOKGL0","21958.0","21.0","18.0","800","8.03"
"798813025920","Its A 10 Potion 10 Miracle Styling Potion, 4.5 Ounce","B00RX8EEQI","24416.0","22.0","19.0","700","16.95"
"823638023254","Eminence Organic Skincare Stone Crop Cleansing Oil, Multi, Unscented, 5 Fl Oz","B0713S5M28","21955.0","63.0","16.0","800","34.90"
"615908431612","TIGI Bed Head Back It Up texturizing Cream for Shape and Texture 4.23 fl oz","B08R51L3RS","29360.0","19.99","15.0","800","10.40"
"041689107901","Zippo Classic High Polish Brass Pocket Lighter","B001E5BDQU","20115.0","30.7","19.0","100","21.11"
"615908426496","TIGI Hair Serum For Curly or Frizzy Hair Control Freak Hair Care and Straightener 8.62 fl oz","B0166UGR2C","24128.0","25.23","20.0","400","12.79"
"746817820003","Jamaican Mango & Lime Black Castor Oil, Original, 2 Fl Oz","B01M0QYB0D","20139.0","22.0","20.0","700","6.96"
"714924294017","Jamaican Mango & Lime Locking Firm Hair Wax 6 oz","B001T8KQ7Y","53420.0","27.0","19.0","100","6.77"
"012511446529","Wholesome Sweeteners 24-Ounce Organic Dark Brown Sugar, Fair Trade, Non GMO, Gluten Free & Vegan, Sugar for Baking and Glazing, 1 Pack","B0046IIGDA","28700.0","40.14","17.0","200","10.08"
"883484717172","Sure Invisible Solid Anti-Perspirant and Deodorant, Unscented, 2.6-Ounces (Pack of 6)","B001ET7C5M","32821.0","22.38","17.0","100","20.14"
"845268002539","Advanced Nutrients Sensizym Fertilizer, 1L","B003Y7F5K6","44050.0","36.82","17.0","100","26.28"
"890879946697","Barbicide Disinfecting Jar Perfect For Salons & Barbers","B0001K55RC","44510.0","39.95","16.0","300","27.66"
"097612361506","Zoo Med Reptile Basking Spot Lamps 150 Watts (4 Pack)","B01BIC6R82","32531.0","28.13","15.0","100","44.09"
"885467521806","PAUL SEBASTIAN by Paul Sebastian Men's Cologne Spray 4 oz - 100% Authentic","B00MSZKFFU","31652.0","48.0","18.0","600","26.15"
"667541536957","Carolina Herrera Bad Boy Eau De Toilette Spray 3.4 Oz (Men)","B07VQK6Q1H","25061.0","190.29","19.0","600","84.72"
"191693125825","Zippo Lighter Inserts","B07XSPY5DK","22168.0","19.95","15.0","600","17.86"
"076280043037","Solaray B-Complex 100 - 250 - Capsule [Health and Beauty]","B00028PMZ8","18720.0","52.59","15.0","100","42.55"
"041153000059","Saucy Susan Apricot Peach Sauce 9.5oz (Large Jars) - 3 Unit Pack","B007B0YLEI","31394.0","18.11","16.0","200","16.86"
"081435506046","Neptune's Harvest Crab & Lobster Shell, 4 lb","B006GK5ON6","16421.0","17.99","15.0","100","21.62"
"746480085914","Jean Paul Gaultier Le Male for Men - 4.2 Ounce EDT Spray, Eau De Toilette Spray","B000WSE6EG","32604.0","77.24","18.0","200","88.51"
"076280044416","SOLARAY Vitamin C 1000mg with Bioflavonoids Concentrate - Vitamin C Capsules with Rose HIPS and Acerola Cherry - Antioxidant, Heart Health and Immune Support Supplement, Vegan, Non-GMO, 250 Servings","B006H9RESE","29938.0","39.99","15.0","200","29.37"
